label,chembl_id,pref_name,max_phase,canonical_smiles,standard_inchi,standard_inchi_key,full_molformula,mw_freebase,alogp,psa,hba,hbd,rtb,qed_weighted,smiles,key
0,CHEMBL3112756,,,O=C(N[C@H]1CCCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,"InChI=1S/C13H22N4O6S/c18-12(15-9-2-1-6-14-7-5-9)11-4-3-10-8-16(11)13(19)17(10)23-24(20,21)22/h9-11,14H,1-8H2,(H,15,18)(H,20,21,22)/t9-,10+,11-/m0/s1",BIJYWYKVNVASSF-AXFHLTTASA-N,C13H22N4O6S,362.41,-0.75,128.28,6.0,3.0,4.0,0.56,O=C(N[C@H]1CCCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,BIJYWYKVNVASSF-AXFHLTTASA-N
0,CHEMBL3112757,,,O=C(N[C@@H]1CCCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,"InChI=1S/C13H22N4O6S/c18-12(15-9-2-1-6-14-7-5-9)11-4-3-10-8-16(11)13(19)17(10)23-24(20,21)22/h9-11,14H,1-8H2,(H,15,18)(H,20,21,22)/t9-,10-,11+/m1/s1",BIJYWYKVNVASSF-MXWKQRLJSA-N,C13H22N4O6S,362.41,-0.75,128.28,6.0,3.0,4.0,0.56,O=C(N[C@@H]1CCCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,BIJYWYKVNVASSF-MXWKQRLJSA-N
0,CHEMBL3112758,,,O=C(Nc1cnccc1C(F)(F)F)N1CC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)C1,"InChI=1S/C27H26ClF3N4O2/c28-20-4-6-21(7-5-20)37-22-3-1-2-19(14-22)16-34-12-9-26(10-13-34)17-35(18-26)25(36)33-24-15-32-11-8-23(24)27(29,30)31/h1-8,11,14-15H,9-10,12-13,16-18H2,(H,33,36)",ZAGHGMYGYHVAMC-UHFFFAOYSA-N,C27H26ClF3N4O2,530.98,6.68,57.7,4.0,1.0,5.0,0.4,O=C(Nc1cnccc1C(F)(F)F)N1CC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)C1,ZAGHGMYGYHVAMC-UHFFFAOYSA-N
0,CHEMBL3112759,,,N#Cc1ccncc1NC(=O)N1CC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)C1,"InChI=1S/C27H26ClN5O2/c28-22-4-6-23(7-5-22)35-24-3-1-2-20(14-24)17-32-12-9-27(10-13-32)18-33(19-27)26(34)31-25-16-30-11-8-21(25)15-29/h1-8,11,14,16H,9-10,12-13,17-19H2,(H,31,34)",SSMSQFOKQCSWCG-UHFFFAOYSA-N,C27H26ClN5O2,487.99,5.53,81.49,5.0,1.0,5.0,0.51,N#Cc1ccncc1NC(=O)N1CC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)C1,SSMSQFOKQCSWCG-UHFFFAOYSA-N
0,CHEMBL3112760,,,O=C(Nc1cnccc1Cl)N1CC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)C1,"InChI=1S/C26H26Cl2N4O2/c27-20-4-6-21(7-5-20)34-22-3-1-2-19(14-22)16-31-12-9-26(10-13-31)17-32(18-26)25(33)30-24-15-29-11-8-23(24)28/h1-8,11,14-15H,9-10,12-13,16-18H2,(H,30,33)",XSTDSVBUSNSQDW-UHFFFAOYSA-N,C26H26Cl2N4O2,497.43,6.31,57.7,4.0,1.0,5.0,0.45,O=C(Nc1cnccc1Cl)N1CC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)C1,XSTDSVBUSNSQDW-UHFFFAOYSA-N
0,CHEMBL3112761,,,O=C(Nc1cnccc1Cl)N1CC2(CN(Cc3cccc(Oc4ccc(Cl)cc4)c3)C2)C1,"InChI=1S/C24H22Cl2N4O2/c25-18-4-6-19(7-5-18)32-20-3-1-2-17(10-20)12-29-13-24(14-29)15-30(16-24)23(31)28-22-11-27-9-8-21(22)26/h1-11H,12-16H2,(H,28,31)",YNEWAIYOMRKSGO-UHFFFAOYSA-N,C24H22Cl2N4O2,469.37,5.53,57.7,4.0,1.0,5.0,0.53,O=C(Nc1cnccc1Cl)N1CC2(CN(Cc3cccc(Oc4ccc(Cl)cc4)c3)C2)C1,YNEWAIYOMRKSGO-UHFFFAOYSA-N
0,CHEMBL3112762,,,O=C(Nc1cccnc1)N1CCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)C2)CC1,"InChI=1S/C27H29ClN4O2/c28-22-6-8-24(9-7-22)34-25-5-1-3-21(17-25)19-31-14-10-27(20-31)11-15-32(16-12-27)26(33)30-23-4-2-13-29-18-23/h1-9,13,17-18H,10-12,14-16,19-20H2,(H,30,33)",JPMAYNJCPSUJHD-UHFFFAOYSA-N,C27H29ClN4O2,477.01,6.05,57.7,4.0,1.0,5.0,0.49,O=C(Nc1cccnc1)N1CCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)C2)CC1,JPMAYNJCPSUJHD-UHFFFAOYSA-N
0,CHEMBL3112763,,,O=C(Nc1cccnc1)N1CCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)C1,"InChI=1S/C27H29ClN4O2/c28-22-6-8-24(9-7-22)34-25-5-1-3-21(17-25)19-31-14-10-27(11-15-31)12-16-32(20-27)26(33)30-23-4-2-13-29-18-23/h1-9,13,17-18H,10-12,14-16,19-20H2,(H,30,33)",QCWZFAUWRDPLSG-UHFFFAOYSA-N,C27H29ClN4O2,477.01,6.05,57.7,4.0,1.0,5.0,0.49,O=C(Nc1cccnc1)N1CCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)C1,QCWZFAUWRDPLSG-UHFFFAOYSA-N
0,CHEMBL3112764,,,O=C(Nc1cccnc1)N1CCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)C2)C1,"InChI=1S/C26H27ClN4O2/c27-21-6-8-23(9-7-21)33-24-5-1-3-20(15-24)17-30-13-10-26(18-30)11-14-31(19-26)25(32)29-22-4-2-12-28-16-22/h1-9,12,15-16H,10-11,13-14,17-19H2,(H,29,32)",GPCWFVDGBUUADZ-UHFFFAOYSA-N,C26H27ClN4O2,462.98,5.66,57.7,4.0,1.0,5.0,0.53,O=C(Nc1cccnc1)N1CCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)C2)C1,GPCWFVDGBUUADZ-UHFFFAOYSA-N
0,CHEMBL3112765,,,O=C(Nc1cccnc1)N1CCC2(CCCN2Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,"InChI=1S/C27H29ClN4O2/c28-22-7-9-24(10-8-22)34-25-6-1-4-21(18-25)20-32-15-3-11-27(32)12-16-31(17-13-27)26(33)30-23-5-2-14-29-19-23/h1-2,4-10,14,18-19H,3,11-13,15-17,20H2,(H,30,33)",MSGFJDOSVFVCSI-UHFFFAOYSA-N,C27H29ClN4O2,477.01,6.19,57.7,4.0,1.0,5.0,0.48,O=C(Nc1cccnc1)N1CCC2(CCCN2Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,MSGFJDOSVFVCSI-UHFFFAOYSA-N
0,CHEMBL3112766,,,O=C(Nc1cccnc1)N1CCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)CC1,"InChI=1S/C28H31ClN4O2/c29-23-6-8-25(9-7-23)35-26-5-1-3-22(19-26)21-32-15-10-28(11-16-32)12-17-33(18-13-28)27(34)31-24-4-2-14-30-20-24/h1-9,14,19-20H,10-13,15-18,21H2,(H,31,34)",KHDLXPSQSWAGNM-UHFFFAOYSA-N,C28H31ClN4O2,491.04,6.44,57.7,4.0,1.0,5.0,0.45,O=C(Nc1cccnc1)N1CCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)CC2)CC1,KHDLXPSQSWAGNM-UHFFFAOYSA-N
0,CHEMBL3112767,,,O=C(Nc1cccnc1)N1CCCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)C2)C1,"InChI=1S/C27H29ClN4O2/c28-22-7-9-24(10-8-22)34-25-6-1-4-21(16-25)18-31-15-12-27(19-31)11-3-14-32(20-27)26(33)30-23-5-2-13-29-17-23/h1-2,4-10,13,16-17H,3,11-12,14-15,18-20H2,(H,30,33)",ABYGQKRHQFMGHP-UHFFFAOYSA-N,C27H29ClN4O2,477.01,6.05,57.7,4.0,1.0,5.0,0.49,O=C(Nc1cccnc1)N1CCCC2(CCN(Cc3cccc(Oc4ccc(Cl)cc4)c3)C2)C1,ABYGQKRHQFMGHP-UHFFFAOYSA-N
