label,chembl_id,pref_name,max_phase,decoy_smiles,standard_inchi,standard_inchi_key,full_molformula,mw_freebase,alogp,psa,hba,hbd,rtb,qed_weighted,MW,LogP,TPSA,HBA,HBD,ROTB,RINGS,AROMRINGS,HEAVY,smiles,key
0,CHEMBL3504794,,,Cc1cc(C)c(N(CC(O)CNCc2ccco2)S(C)(=O)=O)c(C)c1.O=C(O)c1ccccc1,"InChI=1S/C18H26N2O4S.C7H6O2/c1-13-8-14(2)18(15(3)9-13)20(25(4,22)23)12-16(21)10-19-11-17-6-5-7-24-17;8-7(9)6-4-2-1-3-5-6/h5-9,16,19,21H,10-12H2,1-4H3;1-5H,(H,8,9)",OUFBEHDTTCOCAV-UHFFFAOYSA-N,C25H32N2O6S,366.48,2.12,82.78,5,2,8,0.75,488.606,3.50636,120.08,6,3,9,3,3,34,Cc1cc(C)c(N(CC(O)CNCc2ccco2)S(C)(=O)=O)c(C)c1.O=C(O)c1ccccc1,OUFBEHDTTCOCAV-UHFFFAOYSA-N
0,CHEMBL3504840,,,Br.O=C(O)c1csc(NCCc2ccccc2)n1,"InChI=1S/C12H12N2O2S.BrH/c15-11(16)10-8-17-12(14-10)13-7-6-9-4-2-1-3-5-9;/h1-5,8H,6-7H2,(H,13,14)(H,15,16);1H",LEBLMWGZQYYNOY-UHFFFAOYSA-N,C12H13BrN2O2S,248.31,2.5,62.22,4,2,5,0.85,329.219,3.0738,62.22,4,2,5,2,2,18,Br.O=C(O)c1csc(NCCc2ccccc2)n1,LEBLMWGZQYYNOY-UHFFFAOYSA-N
0,CHEMBL3504841,,,Br.Cc1cc(C)c(N(CC(O)CNCc2ccccc2)S(C)(=O)=O)c(C)c1,"InChI=1S/C20H28N2O3S.BrH/c1-15-10-16(2)20(17(3)11-15)22(26(4,24)25)14-19(23)13-21-12-18-8-6-5-7-9-18;/h5-11,19,21,23H,12-14H2,1-4H3;1H",WYGGCBXWFSWOHT-UHFFFAOYSA-N,C20H29BrN2O3S,376.52,2.53,69.64,4,2,8,0.74,457.434,3.10646,69.64,4,2,8,2,2,27,Br.Cc1cc(C)c(N(CC(O)CNCc2ccccc2)S(C)(=O)=O)c(C)c1,WYGGCBXWFSWOHT-UHFFFAOYSA-N
0,CHEMBL3504842,,,Br.CCOc1ccc(Br)cc1C1CCCN1,"InChI=1S/C12H16BrNO.BrH/c1-2-15-12-6-5-9(13)8-10(12)11-4-3-7-14-11;/h5-6,8,11,14H,2-4,7H2,1H3;1H",PQZIJNMDWGCOFP-UHFFFAOYSA-N,C12H17Br2NO,270.17,3.27,21.26,2,1,3,0.91,351.082,3.8502,21.26,2,1,3,2,1,16,Br.CCOc1ccc(Br)cc1C1CCCN1,PQZIJNMDWGCOFP-UHFFFAOYSA-N
0,CHEMBL3504852,,,Br.Cc1ccccc1OC1CCN(CC(=O)Nc2ccn(C)n2)CC1,"InChI=1S/C18H24N4O2.BrH/c1-14-5-3-4-6-16(14)24-15-7-11-22(12-8-15)13-18(23)19-17-9-10-21(2)20-17;/h3-6,9-10,15H,7-8,11-13H2,1-2H3,(H,19,20,23);1H",HHVXVFRLNRQPDJ-UHFFFAOYSA-N,C18H25BrN4O2,328.42,2.21,59.39,5,1,5,0.91,409.328,2.78832,59.39,5,1,5,3,2,25,Br.Cc1ccccc1OC1CCN(CC(=O)Nc2ccn(C)n2)CC1,HHVXVFRLNRQPDJ-UHFFFAOYSA-N
0,CHEMBL3504853,,,Br.Cc1c(NC(=O)CN2CCN(C3CCCC3)C(=O)C2)cnn1C,"InChI=1S/C16H25N5O2.BrH/c1-12-14(9-17-19(12)2)18-15(22)10-20-7-8-21(16(23)11-20)13-5-3-4-6-13;/h9,13H,3-8,10-11H2,1-2H3,(H,18,22);1H",VBCMBJNGSGNIKH-UHFFFAOYSA-N,C16H26BrN5O2,319.41,0.75,70.47,5,1,4,0.89,400.321,1.33172,70.47,5,1,4,3,1,24,Br.Cc1c(NC(=O)CN2CCN(C3CCCC3)C(=O)C2)cnn1C,VBCMBJNGSGNIKH-UHFFFAOYSA-N
0,CHEMBL3504854,,,Br.Cn1cc(CN2CCOC(c3cccc(-c4cncnc4)n3)C2)cn1,"InChI=1S/C18H20N6O.BrH/c1-23-10-14(7-21-23)11-24-5-6-25-18(12-24)17-4-2-3-16(22-17)15-8-19-13-20-9-15;/h2-4,7-10,13,18H,5-6,11-12H2,1H3;1H",SCKBSFDJUHKLNL-UHFFFAOYSA-N,C18H21BrN6O,336.4,1.85,68.96,7,0,4,0.72,417.311,2.4235,68.96,7,0,4,4,3,26,Br.Cn1cc(CN2CCOC(c3cccc(-c4cncnc4)n3)C2)cn1,SCKBSFDJUHKLNL-UHFFFAOYSA-N
0,CHEMBL3504855,,,Br.Cn1nccc1CN1CCOC(c2cccc(-c3cncnc3)n2)C1,"InChI=1S/C18H20N6O.BrH/c1-23-15(5-6-21-23)11-24-7-8-25-18(12-24)17-4-2-3-16(22-17)14-9-19-13-20-10-14;/h2-6,9-10,13,18H,7-8,11-12H2,1H3;1H",FUABNBHATINTCG-UHFFFAOYSA-N,C18H21BrN6O,336.4,1.85,68.96,7,0,4,0.72,417.311,2.4235,68.96,7,0,4,4,3,26,Br.Cn1nccc1CN1CCOC(c2cccc(-c3cncnc3)n2)C1,FUABNBHATINTCG-UHFFFAOYSA-N
0,CHEMBL3504856,,,Br.Cc1ncc(C(=O)N2CCOC(C(=O)N3CCCCCC3)C2)c(C)n1,"InChI=1S/C18H26N4O3.BrH/c1-13-15(11-19-14(2)20-13)17(23)22-9-10-25-16(12-22)18(24)21-7-5-3-4-6-8-21;/h11,16H,3-10,12H2,1-2H3;1H",DUIYUXDQRKMGFL-UHFFFAOYSA-N,C18H27BrN4O3,346.43,1.34,75.63,5,0,2,0.81,427.343,1.91494,75.63,5,0,2,3,1,26,Br.Cc1ncc(C(=O)N2CCOC(C(=O)N3CCCCCC3)C2)c(C)n1,DUIYUXDQRKMGFL-UHFFFAOYSA-N
0,CHEMBL3504857,,,Br.COc1ccc(OCCc2cc(C3CCN(CC(C)C)C3)n[nH]2)cc1,"InChI=1S/C20H29N3O2.BrH/c1-15(2)13-23-10-8-16(14-23)20-12-17(21-22-20)9-11-25-19-6-4-18(24-3)5-7-19;/h4-7,12,15-16H,8-11,13-14H2,1-3H3,(H,21,22);1H",QCYWEGNKBRWLCN-UHFFFAOYSA-N,C20H30BrN3O2,343.47,3.49,50.38,4,1,8,0.8,424.383,4.063,50.38,4,1,8,3,2,26,Br.COc1ccc(OCCc2cc(C3CCN(CC(C)C)C3)n[nH]2)cc1,QCYWEGNKBRWLCN-UHFFFAOYSA-N
0,CHEMBL3504858,,,Br.Cn1cc(CN2CCC(c3cc(COc4cccc(Cl)c4)[nH]n3)C2)cn1,"InChI=1S/C19H22ClN5O.BrH/c1-24-10-14(9-21-24)11-25-6-5-15(12-25)19-8-17(22-23-19)13-26-18-4-2-3-16(20)7-18;/h2-4,7-10,15H,5-6,11-13H2,1H3,(H,22,23);1H",GVXIDOMTNSFJGY-UHFFFAOYSA-N,C19H23BrClN5O,371.87,3.37,58.97,5,1,6,0.72,452.784,3.943,58.97,5,1,6,4,3,27,Br.Cn1cc(CN2CCC(c3cc(COc4cccc(Cl)c4)[nH]n3)C2)cn1,GVXIDOMTNSFJGY-UHFFFAOYSA-N
0,CHEMBL3504859,,,Br.Cc1cc(C)nc(NCCC(=O)NCCn2ccnc2C)n1,"InChI=1S/C15H22N6O.BrH/c1-11-10-12(2)20-15(19-11)18-5-4-14(22)17-7-9-21-8-6-16-13(21)3;/h6,8,10H,4-5,7,9H2,1-3H3,(H,17,22)(H,18,19,20);1H",NXDDMJXVEKYAIX-UHFFFAOYSA-N,C15H23BrN6O,302.38,1.22,84.73,6,2,7,0.8,383.294,1.79466,84.73,6,2,7,2,2,23,Br.Cc1cc(C)nc(NCCC(=O)NCCn2ccnc2C)n1,NXDDMJXVEKYAIX-UHFFFAOYSA-N
0,CHEMBL3504860,,,Br.Cc1ccccc1OC1CCN(CC(=O)Nc2cnn(C)c2C)CC1,"InChI=1S/C19H26N4O2.BrH/c1-14-6-4-5-7-18(14)25-16-8-10-23(11-9-16)13-19(24)21-17-12-20-22(3)15(17)2;/h4-7,12,16H,8-11,13H2,1-3H3,(H,21,24);1H",QZTMJKFMDXJQPO-UHFFFAOYSA-N,C19H27BrN4O2,342.44,2.52,59.39,5,1,5,0.91,423.355,3.09674,59.39,5,1,5,3,2,26,Br.Cc1ccccc1OC1CCN(CC(=O)Nc2cnn(C)c2C)CC1,QZTMJKFMDXJQPO-UHFFFAOYSA-N
0,CHEMBL3526174,,,Cc1ccc(O)c([C@H](CCNC(C)C)c2ccccc2)c1,"InChI=1S/C19H25NO/c1-14(2)20-12-11-17(16-7-5-4-6-8-16)18-13-15(3)9-10-19(18)21/h4-10,13-14,17,20-21H,11-12H2,1-3H3/t17-/m1/s1",CPLYUIYTJCFQJD-QGZVFWFLSA-N,C19H25NO,283.42,4.22,32.26,2,2,6,0.83,283.415,4.22062,32.26,2,2,6,2,2,21,Cc1ccc(O)c([C@H](CCNC(C)C)c2ccccc2)c1,CPLYUIYTJCFQJD-QGZVFWFLSA-N
0,CHEMBL3526178,,,O=C(O)CCc1cn(Cc2ccc(OCc3csc(-c4ccccc4)n3)cc2)nc1O,"InChI=1S/C23H21N3O4S/c27-21(28)11-8-18-13-26(25-22(18)29)12-16-6-9-20(10-7-16)30-14-19-15-31-23(24-19)17-4-2-1-3-5-17/h1-7,9-10,13,15H,8,11-12,14H2,(H,25,29)(H,27,28)",FLJUMKJOWRMKTG-UHFFFAOYSA-N,C23H21N3O4S,435.51,4.36,97.47,7,2,9,0.41,435.505,4.3567,97.47,7,2,9,4,4,31,O=C(O)CCc1cn(Cc2ccc(OCc3csc(-c4ccccc4)n3)cc2)nc1O,FLJUMKJOWRMKTG-UHFFFAOYSA-N
0,CHEMBL3526179,,,CCOc1nn(Cc2ccc(O)cc2)cc1CCC(=O)O,"InChI=1S/C15H18N2O4/c1-2-21-15-12(5-8-14(19)20)10-17(16-15)9-11-3-6-13(18)7-4-11/h3-4,6-7,10,18H,2,5,8-9H2,1H3,(H,19,20)",WPLGCUSQVAOKNJ-UHFFFAOYSA-N,C15H18N2O4,290.32,2.05,84.58,5,2,7,0.81,290.319,2.0529,84.58,5,2,7,2,2,21,CCOc1nn(Cc2ccc(O)cc2)cc1CCC(=O)O,WPLGCUSQVAOKNJ-UHFFFAOYSA-N
0,CHEMBL3526180,,,N=c1nc2c(Nc3ccc(F)c(Cl)c3)nc(=O)[nH]c2c[nH]1,"InChI=1S/C12H8ClFN6O/c13-6-3-5(1-2-7(6)14)17-10-9-8(18-12(21)20-10)4-16-11(15)19-9/h1-4H,(H2,15,16,19)(H2,17,18,20,21)",ONHJESBVHDZVBE-UHFFFAOYSA-N,C12H8ClFN6O,306.69,1.66,110.31,5,4,2,0.58,306.688,1.66177,110.31,5,4,2,3,3,21,N=c1nc2c(Nc3ccc(F)c(Cl)c3)nc(=O)[nH]c2c[nH]1,ONHJESBVHDZVBE-UHFFFAOYSA-N
0,CHEMBL3526210,,,Cc1cnc(Cn2c(O)nc3c(Cl)nc(N)nc32)c(C)c1O,"InChI=1S/C13H13ClN6O2/c1-5-3-16-7(6(2)9(5)21)4-20-11-8(17-13(20)22)10(14)18-12(15)19-11/h3H,4H2,1-2H3,(H,16,21)(H,17,22)(H2,15,18,19)",VOZVEEVYDNBWRG-UHFFFAOYSA-N,C13H13ClN6O2,320.74,1.53,122.97,8,3,2,0.61,320.74,1.53324,122.97,8,3,2,3,3,22,Cc1cnc(Cn2c(O)nc3c(Cl)nc(N)nc32)c(C)c1O,VOZVEEVYDNBWRG-UHFFFAOYSA-N
0,CHEMBL3526211,,,COc1ccc2nc(COc3ccc(CC(C(N)=O)S(C)(=O)=O)cc3)n(C)c2c1,"InChI=1S/C20H23N3O5S/c1-23-17-11-15(27-2)8-9-16(17)22-19(23)12-28-14-6-4-13(5-7-14)10-18(20(21)24)29(3,25)26/h4-9,11,18H,10,12H2,1-3H3,(H2,21,24)",CFOSYNLCBUVBPB-UHFFFAOYSA-N,C20H23N3O5S,417.49,1.6,113.51,7,1,8,0.6,417.487,1.6019,113.51,7,1,8,3,3,29,COc1ccc2nc(COc3ccc(CC(C(N)=O)S(C)(=O)=O)cc3)n(C)c2c1,CFOSYNLCBUVBPB-UHFFFAOYSA-N
0,CHEMBL3526242,,,COc1ccc2nc(COc3ccc(CC(O)C(N)=O)cc3)n(C)c2c1,"InChI=1S/C19H21N3O4/c1-22-16-10-14(25-2)7-8-15(16)21-18(22)11-26-13-5-3-12(4-6-13)9-17(23)19(20)24/h3-8,10,17,23H,9,11H2,1-2H3,(H2,20,24)",SUDLOYBEPHOERO-UHFFFAOYSA-N,C19H21N3O4,355.39,1.55,99.6,6,2,7,0.67,355.394,1.5496,99.6,6,2,7,3,3,26,COc1ccc2nc(COc3ccc(CC(O)C(N)=O)cc3)n(C)c2c1,SUDLOYBEPHOERO-UHFFFAOYSA-N
0,CHEMBL3526245,,,OC1CN(Cc2ccccc2Cl)Cc2ccsc21,"InChI=1S/C14H14ClNOS/c15-12-4-2-1-3-10(12)7-16-8-11-5-6-18-14(11)13(17)9-16/h1-6,13,17H,7-9H2",GWHGEZHHJDSDMI-UHFFFAOYSA-N,C14H14ClNOS,279.79,3.45,23.47,3,1,2,0.91,279.792,3.4507,23.47,3,1,2,3,2,18,OC1CN(Cc2ccccc2Cl)Cc2ccsc21,GWHGEZHHJDSDMI-UHFFFAOYSA-N
